hello, Γειά σου; pronounced (YAH-soo)
goodbye,Γειά σου; pronounced (YAH-soo)
bye,Γειά σου; pronounced (YAH-soo)
yes,Ναί; pronounced (neh)
no,όχι; pronounced (OH-hee)
please,Παρακαλώ; pronounced (para-kah-LOE)
thank you, Ευχαριστώ; pronounced (eff-kha-ri-STOE)
good morning,Καλημέρα; pronounced (kah-lee-MER-ah)
good afternoon, Καλησπέρα; pronounced (kah-lee SPER-ah)
good evening, Καλησπέρα; pronounced (kah-lee SPER-ah)
nice to meet,Χάρηκα; pronounced (you,HA-ree-ka)
how are you,Tι κανείς; pronounced (tee-KAH-nis)
goodnight, Καληνύχτα; pronounced (kah-lee-NEEKH-tah)
my name is,Με λένε; pronounced (me LEH-neh)
sorry,Συγνώμη; pronounced (See-GHNO-mee)
help,Βοήθεια; pronounced (voh-EE-thee-yah)
cheers,Εβίβα; pronounced (eh-Vi-va)
what is your name,πως σε λένε; pronounced (pos-oh LEH-neh)
Do you speak English?,Μιλάτε αγγλικά; pronounced  (Mee-LAH-teh ang-li-KAH)

